name,latitude,longitude
Income Tax Office (Bandra East) #1,19.059048020448063,72.85467022176695
Babulnath Junction (Gamdevi) #1,18.960240193371835,72.80938273599195
Dahisar Station Road East (Dahisar East) #1,19.248616957609823,72.8624444432454
Tagore Nagar No 5 (Vikhroli) #1,19.124987099981176,72.92893432309863
Indian Bank Hiranandani Thane West #1,19.253875335105494,72.98162911933755
Reliance Fresh Corner (Navi Mumbai) #1,19.046870969084353,73.07506852990966
Wadala Station Or P And T Quarters #1,19.016613859757864,72.85859745074464
Hanuman Mandir (Bhandup West) #2,19.151701565924455,72.93324297668647
Dharivli Village (Madh) #1,19.169555967078807,72.79566064141036
Kabutarkhana (Dadar) #1,19.018568241334982,72.84001781932018
Aksa Chowpathy #1,19.173104835222347,72.79720774754458
Rajshree Cinema,19.2509842513989,72.86349302054354
Adarsh Nagar (Malad East) #1,19.18744368807427,72.86306530919265
Additional Police Commissioner Office (Bandra West) #1,19.062349055304832,72.82226458312654
Mahavir Nagar Extension Or Parijat Society (Kandivali) #1,19.214455000000008,72.83953700000004
Khanda Gaon Netrajyot Hospital #1,19.00977448044572,73.10746310055227
Sewree Naka (Parel) #1,18.99762467158344,72.84980259589321
Khindipada (Mulund - Goregaon Link Rd) #1,19.166609915813474,72.92971644018697
Kranti Nagar Andheri,19.10843850407978,72.86604763558198
Panchsheel Apartment (Borivali West) #1,19.213450320544496,72.84136131779098
Mindspace Airoli #1,19.163197783116747,73.00000268220899
Adishakti Nagar Or Pipe Line (Mulund West) #1,19.18538186986992,72.9463498840094
Hemgiri Society (Borivali) #1,19.236491057984036,72.86395633426162
Desai Bungalow (Thane) #1,19.205079294954423,72.97807855717429
N L Complex Junction (Dahisar East) #1,19.260174403739153,72.86529680766346
APMC Fruit And Vegetable Market (Navi Mumbai) #1,19.07654297797731,73.00974692088414
Gadkari Quarry (Trombay) #1,19.019504000000012,72.90771700000002
Madkebuwa Chowk (Parel) #2,19.004435314057453,72.8410079358878
Bahalepada (Goregaon) #1,19.163773245977534,72.88464292394258
Abhishek Apartments (Andheri West) #1,19.120871999999995,72.82643653067113
Mumbai Central Station Or S T Depot (Dalal Estate),18.96881271940255,72.82039798251486
Acharya Udyan (Chembur) #1,19.053397264138344,72.89995591016054
Ganesh Mandir Or Kastur Park (Borivali West) #1,19.223722854361043,72.84872307825042
Helan Kelar Institute (Navi Mumbai) #1,19.113415046187697,73.0120012281723
SG Barve Road Junction (Chembur) #1,19.056546596714313,72.8874114037971
Sunflower Society (Kandivali East) #1,19.21449919674979,72.87438377442407
Nehru Planetarium N S C I,18.98686007412943,72.81428794171619
Income Tax Office (Marine Lines) #1,18.938446878432632,72.82722752484273
Ulave Node #1,18.971997562383386,73.03455112059376
Deonar Police Station (Govandi East) #1,19.058210761418472,72.91788592117261
Colaba Bus Station (Cuffe Parade) #1,18.913903612163505,72.82267236164809
Juhu Shopping Centre (Andheri West) #2,19.115471198529917,72.834918195395
Maheshwari Udyan (Matunga East) #1,19.026722343739124,72.85467458133697
Dadar Railway Station West #1,19.018046571222552,72.84163180133957
Poddar Hospital,19.003267654223134,72.81590621288014
Navy Nagar Colaba #1,18.907375403185032,72.80862683377565
Nava Gaon (Dahisar West) #1,19.251371050008192,72.85372798834327
Goregaon Check Naka No 2 (Andheri East) #1,19.12611931780908,72.87959330890419
Kurla Level Crossing (Kurla West) #1,19.058516455625433,72.87140329782439
Kamani (Kurla West) #2,19.084188659474382,72.88417508390523
Garware Chowk (Vile Parle) #2,19.109194889657136,72.85208328587912
Jungal Mangal Road,19.150563274673775,72.9338430349703
Nalanda Society (Ghatkopar East) #1,19.07485322474648,72.91270208159735
Maratha Colony (Santacruz East) #1,19.07390975665034,72.84700543626309
Mulund Railway Station West (Mulund West) #1,19.17401666525089,72.95440630281263
Chikoowadi (Borivali West) #1,19.219545342335767,72.8394770582838
Dainik Shivner (Worli) #1,18.9932,72.8224
Lalji Pada (Kandivali West) #1,19.201421839107926,72.83384927422239
Bhandup Station East (Kanjurmarg East) #1,19.142635405404587,72.93929532266442
600 Tenament Gate (Govandi East) #1,19.05443913479321,72.92122510156393
Bawla Masjid (Lower Parel) #1,18.994760955438835,72.83147278129147
Kalwa Bridge (Thane West) #1,19.197342701457988,72.98326645824909
Rawli Camp (Sion) #1,19.03661013114057,72.86905302608345
Gandhi Nagar Thane #1,19.21829573813713,72.97021759478329
Sewree Court (Sewri) #1,18.99654595570741,72.85298306411217
New India Bank,19.28169770615039,72.8605062300768
Dr Suchak Chowk (Malad East) #1,19.187548050047607,72.85007775214959
Ghobandar Village (Mira Bhayandar) #1,19.291670507404433,72.88934841104506
Gothivali Village Or Rabale Railway Station (Navi Mumbai) #1,19.13775816746447,73.00309908159733
Balkum Pada Number 1 (Thane) #1,19.22179406338257,72.99118532220587
Bawla Masjid (Lower Parel) #2,18.994450278916368,72.83133418621969
Badhwar Park,18.919843951486605,72.82581506440069
Khareghat Road,19.0191,72.8512
